event_id,session_id,campaign_id,scenario,ground_truth_label,source_ip,destination_ip,source_port,destination_port,protocol,start_utc,end_utc,controller_event_id,controller_start_utc,controller_end_utc,host_evidence_id,pcap_evidence_id,ground_truth_status,ground_truth_source,corroboration_type,confidence_status,reason_code,primary_test_eligible
EVT_DEV_EXPLOIT_01_001,E1_DEV_EXPLOIT_01,DEV_EXPLOIT_C01,exploit,attack,192.168.10.101,192.168.10.146,0,22,tcp,2026-09-18T09:18:43+00:00,2026-09-18T09:19:15+00:00,CTRL_EVT_DEV_EXPLOIT_01_001,2026-09-18T09:18:43+00:00,2026-09-18T09:19:15+00:00,,,excluded,controller_log_msf_ssh_enumusers,none_insufficient,not_applicable,GT_EXCLUDED_NO_TARGET_MATCH,no
EVT_DEV_EXPLOIT_01b_001,E1_DEV_EXPLOIT_01b,DEV_EXPLOIT_C01b,exploit,attack,192.168.10.101,192.168.10.146,0,22+8080+9200+5601,tcp,2026-09-18T09:22:37+00:00,2026-09-18T09:31:09+00:00,CTRL_EVT_DEV_EXPLOIT_01b_001,2026-09-18T09:22:37+00:00,2026-09-18T09:31:09+00:00,HOST_E1_DEV_EXPLOIT_01b,PCAP_E1_DEV_EXPLOIT_01b,confirmed,controller_log_nmap_nse_exploit_vuln,controller_plus_tool_output_plus_pcap,high,GT_CONFIRMED_CONTROLLER_PCAP,no
EVT_DEV_EXPLOIT_02_001,E1_DEV_EXPLOIT_02,DEV_EXPLOIT_C02,exploit,attack,192.168.10.101,192.168.10.146,0,8080,tcp,2026-09-18T09:32:45+00:00,2026-09-18T09:32:56+00:00,CTRL_EVT_DEV_EXPLOIT_02_001,2026-09-18T09:32:45+00:00,2026-09-18T09:32:56+00:00,HOST_E1_DEV_EXPLOIT_02,PCAP_E1_DEV_EXPLOIT_02,confirmed,controller_log_nmap_nse_http_exploits,controller_plus_tool_output_plus_pcap,high,GT_CONFIRMED_CONTROLLER_PCAP,no
EVT_DEV_EXPLOIT_03_001,E1_DEV_EXPLOIT_03,DEV_EXPLOIT_C03,exploit,attack,192.168.10.101,192.168.10.146,0,9200+5601,tcp,2026-09-18T09:34:20+00:00,2026-09-18T09:34:21+00:00,CTRL_EVT_DEV_EXPLOIT_03_001,2026-09-18T09:34:20+00:00,2026-09-18T09:34:21+00:00,,,excluded,controller_log_nmap_nse,none_insufficient,not_applicable,GT_EXCLUDED_NO_TARGET_MATCH,no
EVT_DEV_EXPLOIT_03b_001,E1_DEV_EXPLOIT_03b,DEV_EXPLOIT_C03b,exploit,attack,192.168.10.101,192.168.10.146,0,9200+5601,tcp,2026-09-18T09:39:11+00:00,2026-09-18T09:43:08+00:00,CTRL_EVT_DEV_EXPLOIT_03b_001,2026-09-18T09:39:11+00:00,2026-09-18T09:43:08+00:00,HOST_E1_DEV_EXPLOIT_03b,PCAP_E1_DEV_EXPLOIT_03b,confirmed,controller_log_nikto_scan,controller_plus_tool_output_plus_pcap,high,GT_CONFIRMED_CONTROLLER_PCAP,no
EVT_TEST_NORMAL_01_001,E1_TEST_NORMAL_01,TEST_NORMAL_C01,normal,normal,192.168.10.101,192.168.10.146,0,8080,tcp,2026-09-18T09:56:22+00:00,2026-09-18T09:56:53+00:00,CTRL_EVT_TEST_NORMAL_01_001,2026-09-18T09:56:22+00:00,2026-09-18T09:56:53+00:00,HOST_E1_TEST_NORMAL_01,PCAP_E1_TEST_NORMAL_01,confirmed,controller_log_curl_30_requests,controller_plus_host_application_log,high,GT_CONFIRMED_CONTROLLER_HOST,yes
EVT_TEST_NORMAL_02_001,E1_TEST_NORMAL_02,TEST_NORMAL_C02,normal,normal,192.168.10.101,192.168.10.146,0,8080,tcp,2026-09-18T09:58:23+00:00,2026-09-18T09:58:53+00:00,CTRL_EVT_TEST_NORMAL_02_001,2026-09-18T09:58:23+00:00,2026-09-18T09:58:53+00:00,HOST_E1_TEST_NORMAL_02,PCAP_E1_TEST_NORMAL_02,confirmed,controller_log_curl_30_requests,controller_plus_host_application_log,high,GT_CONFIRMED_CONTROLLER_HOST,yes
EVT_TEST_NORMAL_03_001,E1_TEST_NORMAL_03,TEST_NORMAL_C03,normal,normal,192.168.10.101,192.168.10.146,0,8080,tcp,2026-09-18T10:16:34+00:00,2026-09-18T10:17:05+00:00,CTRL_EVT_TEST_NORMAL_03_001,2026-09-18T10:16:34+00:00,2026-09-18T10:17:05+00:00,HOST_E1_TEST_NORMAL_03,PCAP_E1_TEST_NORMAL_03,confirmed,controller_log_curl_30_requests,controller_plus_host_application_log,high,GT_CONFIRMED_CONTROLLER_HOST,yes
EVT_TEST_SCAN_01_001,E1_TEST_SCAN_01,TEST_SCAN_C01,scan,attack,192.168.10.101,192.168.10.146,0,0,tcp,2026-09-18T10:30:15+00:00,2026-09-18T10:30:15+00:00,CTRL_EVT_TEST_SCAN_01_001,2026-09-18T10:30:15+00:00,2026-09-18T10:30:15+00:00,HOST_E1_TEST_SCAN_01,PCAP_E1_TEST_SCAN_01,confirmed,controller_log_nmap_tcp_connect,controller_plus_pcap_plus_target_availability,high,GT_CONFIRMED_CONTROLLER_PCAP,yes
EVT_TEST_SCAN_02_001,E1_TEST_SCAN_02,TEST_SCAN_C02,scan,attack,192.168.10.101,192.168.10.146,0,0,tcp,2026-09-18T10:32:21+00:00,2026-09-18T10:32:21+00:00,CTRL_EVT_TEST_SCAN_02_001,2026-09-18T10:32:21+00:00,2026-09-18T10:32:21+00:00,HOST_E1_TEST_SCAN_02,PCAP_E1_TEST_SCAN_02,confirmed,controller_log_nmap_tcp_connect,controller_plus_pcap_plus_target_availability,high,GT_CONFIRMED_CONTROLLER_PCAP,yes
EVT_TEST_SCAN_03_001,E1_TEST_SCAN_03,TEST_SCAN_C03,scan,attack,192.168.10.101,192.168.10.146,0,0,tcp,2026-09-18T10:35:57+00:00,2026-09-18T10:35:59+00:00,CTRL_EVT_TEST_SCAN_03_001,2026-09-18T10:35:57+00:00,2026-09-18T10:35:59+00:00,HOST_E1_TEST_SCAN_03,PCAP_E1_TEST_SCAN_03,confirmed,controller_log_nmap_tcp_connect,controller_plus_pcap_plus_target_availability,high,GT_CONFIRMED_CONTROLLER_PCAP,yes
EVT_TEST_BRUTE_01_001,E1_TEST_BRUTE_01,TEST_BRUTE_C01,brute_force,attack,192.168.10.101,192.168.10.146,0,22,tcp,2026-09-18T10:38:28+00:00,2026-09-18T10:38:41+00:00,CTRL_EVT_TEST_BRUTE_01_001,2026-09-18T10:38:28+00:00,2026-09-18T10:38:41+00:00,HOST_E1_TEST_BRUTE_01,PCAP_E1_TEST_BRUTE_01,confirmed,controller_log_hydra_20_attempts,controller_plus_host_application_log,high,GT_CONFIRMED_CONTROLLER_HOST,yes
EVT_TEST_BRUTE_02_001,E1_TEST_BRUTE_02,TEST_BRUTE_C02,brute_force,attack,192.168.10.101,192.168.10.146,0,22,tcp,2026-09-18T10:40:11+00:00,2026-09-18T10:40:24+00:00,CTRL_EVT_TEST_BRUTE_02_001,2026-09-18T10:40:11+00:00,2026-09-18T10:40:24+00:00,HOST_E1_TEST_BRUTE_02,PCAP_E1_TEST_BRUTE_02,confirmed,controller_log_hydra_20_attempts,controller_plus_host_application_log,high,GT_CONFIRMED_CONTROLLER_HOST,yes
EVT_TEST_BRUTE_03_001,E1_TEST_BRUTE_03,TEST_BRUTE_C03,brute_force,attack,192.168.10.101,192.168.10.146,0,22,tcp,2026-09-18T10:41:45+00:00,2026-09-18T10:41:59+00:00,CTRL_EVT_TEST_BRUTE_03_001,2026-09-18T10:41:45+00:00,2026-09-18T10:41:59+00:00,HOST_E1_TEST_BRUTE_03,PCAP_E1_TEST_BRUTE_03,confirmed,controller_log_hydra_20_attempts,controller_plus_host_application_log,high,GT_CONFIRMED_CONTROLLER_HOST,yes
EVT_TEST_DOS_01_001,E1_TEST_DOS_01,TEST_DOS_C01,dos,attack,192.168.10.101,192.168.10.146,0,18080,tcp,2026-09-18T10:43:14+00:00,2026-09-18T10:43:44+00:00,CTRL_EVT_TEST_DOS_01_001,2026-09-18T10:43:14+00:00,2026-09-18T10:43:44+00:00,HOST_E1_TEST_DOS_01,PCAP_E1_TEST_DOS_01,confirmed,controller_log_hping3_syn_flood,controller_plus_pcap_traffic_volume,high,GT_CONFIRMED_CONTROLLER_PCAP,yes
EVT_TEST_DOS_02_001,E1_TEST_DOS_02,TEST_DOS_C02,dos,attack,192.168.10.101,192.168.10.146,0,18080,tcp,2026-09-18T10:45:54+00:00,2026-09-18T10:46:24+00:00,CTRL_EVT_TEST_DOS_02_001,2026-09-18T10:45:54+00:00,2026-09-18T10:46:24+00:00,HOST_E1_TEST_DOS_02,PCAP_E1_TEST_DOS_02,confirmed,controller_log_hping3_syn_flood,controller_plus_pcap_traffic_volume,high,GT_CONFIRMED_CONTROLLER_PCAP,yes
EVT_TEST_DOS_03_001,E1_TEST_DOS_03,TEST_DOS_C03,dos,attack,192.168.10.101,192.168.10.146,0,18080,tcp,2026-09-18T10:48:53+00:00,2026-09-18T10:49:23+00:00,CTRL_EVT_TEST_DOS_03_001,2026-09-18T10:48:53+00:00,2026-09-18T10:49:23+00:00,HOST_E1_TEST_DOS_03,PCAP_E1_TEST_DOS_03,confirmed,controller_log_hping3_syn_flood,controller_plus_pcap_traffic_volume,high,GT_CONFIRMED_CONTROLLER_PCAP,yes
EVT_TEST_EXPLOIT_01_001,E1_TEST_EXPLOIT_01,TEST_EXPLOIT_C01,exploit,attack,192.168.10.101,192.168.10.146,0,22+8080+9200+5601,tcp,2026-09-18T10:52:20+00:00,2026-09-18T10:52:34+00:00,CTRL_EVT_TEST_EXPLOIT_01_001,2026-09-18T10:52:20+00:00,2026-09-18T10:52:34+00:00,HOST_E1_TEST_EXPLOIT_01,PCAP_E1_TEST_EXPLOIT_01,confirmed,controller_log_nmap_nse_exploit_vuln,controller_plus_tool_output_plus_pcap,high,GT_CONFIRMED_CONTROLLER_PCAP,yes
EVT_TEST_EXPLOIT_02_001,E1_TEST_EXPLOIT_02,TEST_EXPLOIT_C02,exploit,attack,192.168.10.101,192.168.10.146,0,8080,tcp,2026-09-18T10:53:54+00:00,2026-09-18T10:54:04+00:00,CTRL_EVT_TEST_EXPLOIT_02_001,2026-09-18T10:53:54+00:00,2026-09-18T10:54:04+00:00,HOST_E1_TEST_EXPLOIT_02,PCAP_E1_TEST_EXPLOIT_02,confirmed,controller_log_nmap_nse_http_exploits,controller_plus_tool_output_plus_pcap,high,GT_CONFIRMED_CONTROLLER_PCAP,yes
EVT_TEST_EXPLOIT_03_001,E1_TEST_EXPLOIT_03,TEST_EXPLOIT_C03,exploit,attack,192.168.10.101,192.168.10.146,0,9200+5601,tcp,2026-09-18T10:55:14+00:00,2026-09-18T11:07:27+00:00,CTRL_EVT_TEST_EXPLOIT_03_001,2026-09-18T10:55:14+00:00,2026-09-18T11:07:27+00:00,HOST_E1_TEST_EXPLOIT_03,PCAP_E1_TEST_EXPLOIT_03,confirmed,controller_log_nikto_scan,controller_plus_tool_output_plus_pcap,high,GT_CONFIRMED_CONTROLLER_PCAP,yes
