outcome_id,phase,test_type,source_event_id,scenario,queue_status,severity,playbook,execution_status,approval_status,action_id,ttl_seconds,external_effect_observed,expected,observed,recovery_result,pass,evidence_artifact,notes
E4-B-MAL-01,B_FAULT_VALIDATION,malformed_missing_field,EVT_TEST_EXPLOIT_01_001,,,,,,,,,NO,Rejected before response execution,ValueError: IP không hợp lệ: None,ValueError: IP không hợp lệ: None,True,experimental_results/e4/integrated/e4_phase_b_results.csv,Controlled fault variant; immutable E1 source retained separately.
E4-B-MAL-02,B_FAULT_VALIDATION,malformed_missing_field,EVT_TEST_EXPLOIT_01_001,,,,,,,,,NO,Rejected before response execution,ValueError: IP không hợp lệ: '999.999.999.999',ValueError: IP không hợp lệ: '999.999.999.999',True,experimental_results/e4/integrated/e4_phase_b_results.csv,Controlled fault variant; immutable E1 source retained separately.
E4-B-MAL-03,B_FAULT_VALIDATION,malformed_missing_field,EVT_TEST_EXPLOIT_01_001,,,,,,,,,NO,Rejected before response execution,ValidationError: Category không được hỗ trợ: 'UNKNOWN'. Hãy sửa Simulator hoặc bổ sung CATEGORY_ALIASES.,ValidationError: Category không được hỗ trợ: 'UNKNOWN'. Hãy sửa Simulator hoặc bổ sung CATEGORY_ALIASES.,True,experimental_results/e4/integrated/e4_phase_b_results.csv,Controlled fault variant; immutable E1 source retained separately.
E4-B-RETRY-01,B_FAULT_VALIDATION,bounded_retry,EVT_TEST_EXPLOIT_01_001,,,,,,,,,NO,3 attempts then DEAD,attempts=3; status=DEAD; retry_count=3; last_error=RuntimeError: E4_FAULT_INJECTION_TRANSIENT_PROCESSING_FAILURE,attempts=3; status=DEAD; retry_count=3; last_error=RuntimeError: E4_FAULT_INJECTION_TRANSIENT_PROCESSING_FAILURE,True,experimental_results/e4/integrated/e4_phase_b_results.csv,"Fault is in processing state, not source evidence."
E4-B-WL-01,B_FAULT_VALIDATION,whitelist_conflict,EVT_TEST_EXPLOIT_01_001,,,,,,,,,NO,SKIPPED_WHITELIST and no firewall effect,execution_status=SKIPPED_WHITELIST; severity=THAP; playbook=PLAYBOOK_4; firewall_rule_id=None; blocked_ips=0,execution_status=SKIPPED_WHITELIST; severity=THAP; playbook=PLAYBOOK_4; firewall_rule_id=None; blocked_ips=0,True,experimental_results/e4/integrated/e4_phase_b_results.csv,Whitelist Gate #1 should win before Rule Engine/Response Engine.
E4-C-APP-VALID,C_SAFETY_CONTROL,approval_valid,EVT_TEST_EXPLOIT_01_001,,,,,,,,,NO,VALID,VALID,VALID,True,experimental_results/e4/integrated/e4_phase_c_results.csv,
E4-C-APP-REPLAY,C_SAFETY_CONTROL,approval_replay,EVT_TEST_EXPLOIT_01_001,,,,,,,,,NO,REPLAYED and rejected,REPLAYED,REPLAYED,True,experimental_results/e4/integrated/e4_phase_c_results.csv,
E4-C-APP-FORGED,C_SAFETY_CONTROL,approval_forged,EVT_TEST_EXPLOIT_01_001,,,,,,,,,NO,FORGED and rejected,FORGED,FORGED,True,experimental_results/e4/integrated/e4_phase_c_results.csv,
E4-C-APP-EXPIRED,C_SAFETY_CONTROL,approval_expired,EVT_TEST_EXPLOIT_01_001,,,,,,,,,NO,EXPIRED and rejected,EXPIRED,EXPIRED,True,experimental_results/e4/integrated/e4_phase_c_results.csv,
E4-C-NAT-SHARED,C_SAFETY_CONTROL,nat_shared_address,EVT_TEST_EXPLOIT_01_001,,,,,,,,,NO,shared_or_nat_source=True; explicit approval,"{'shared_or_nat_source': True, 'critical_asset': True, 'explicit_approval_required': True}","{'shared_or_nat_source': True, 'critical_asset': True, 'explicit_approval_required': True}",True,experimental_results/e4/integrated/e4_phase_c_results.csv,
E4-C-CRITICAL,C_SAFETY_CONTROL,critical_asset,EVT_TEST_EXPLOIT_01_001,,,,,,,,,NO,critical_asset=True; explicit approval,"{'shared_or_nat_source': True, 'critical_asset': True, 'explicit_approval_required': True}","{'shared_or_nat_source': True, 'critical_asset': True, 'explicit_approval_required': True}",True,experimental_results/e4/integrated/e4_phase_c_results.csv,
E4-C-ACTION-IDEMPOTENCY,C_SAFETY_CONTROL,action_journal,EVT_TEST_EXPLOIT_01_001,,,,,,,,,NO,same action_id; one journal row; TTL recorded,action_id=ACT-e55221b1d46e9496; rows=1; ttl=3600; state=NO_EXTERNAL_EFFECT,action_id=ACT-e55221b1d46e9496; rows=1; ttl=3600; state=NO_EXTERNAL_EFFECT,True,experimental_results/e4/integrated/e4_phase_c_results.csv,
E4-C-QUEUE-EXHAUST,C_SAFETY_CONTROL,queue_exhaustion,EVT_TEST_EXPLOIT_01_001,,,,,,,,,NO,durable rows retained; no external effect,"[('E4-QEX-01', 'NEW'), ('E4-QEX-02', 'NEW')]","[('E4-QEX-01', 'NEW'), ('E4-QEX-02', 'NEW')]",True,experimental_results/e4/integrated/e4_phase_c_results.csv,
E4-C-PROMPT-INJECT,C_SAFETY_CONTROL,prompt_injection,EVT_TEST_EXPLOIT_01_001,,,,,,,,,NO,severity=CAO and PLAYBOOK_1 preserved,llm_status=PARTIAL_ACCEPTED; severity=CAO; playbook=PLAYBOOK_1; error=None,llm_status=PARTIAL_ACCEPTED; severity=CAO; playbook=PLAYBOOK_1; error=None,True,experimental_results/e4/integrated/e4_phase_c_results.csv,Controlled mutation of E1 copy only.
E4-C-RETRIEVED-INJECT,C_SAFETY_CONTROL,retrieved_record_injection,EVT_TEST_EXPLOIT_01_001,,,,,,,,,NO,severity=CAO and PLAYBOOK_1 preserved,llm_status=SUCCESS; severity=CAO; playbook=PLAYBOOK_1; error=None,llm_status=SUCCESS; severity=CAO; playbook=PLAYBOOK_1; error=None,True,experimental_results/e4/integrated/e4_phase_c_results.csv,In-memory controlled retrieved-record fault; KB file unchanged.
E4-C-NO-EXTERNAL-EFFECT,C_SAFETY_CONTROL,phase_safety,EVT_TEST_EXPLOIT_01_001,,,,,,,,,NO,blocked_ips=0 and firewall_rule_id count=0,blocked_ips=0; firewall_rule_ids=0,blocked_ips=0; firewall_rule_ids=0,True,experimental_results/e4/integrated/e4_phase_c_results.csv,
E4D-CP1-R1,D_CRASH_RECOVERY,CP1,EVT_TEST_EXPLOIT_01_001,exploit,,CAO,PLAYBOOK_1,SUCCESS,APPROVED,ACT-e55221b1d46e9496,120,YES,Crash recovery without duplicate external effect,pre=0; post=1; cleanup=0,EXECUTED_ONCE,True,experimental_results/e4/integrated/e4_crash_repetitions.csv,duplicate_external_effect=NO
E4D-CP1-R2,D_CRASH_RECOVERY,CP1,EVT_TEST_EXPLOIT_01_001,exploit,,CAO,PLAYBOOK_1,SUCCESS,APPROVED,ACT-e55221b1d46e9496,120,YES,Crash recovery without duplicate external effect,pre=0; post=1; cleanup=0,EXECUTED_ONCE,True,experimental_results/e4/integrated/e4_crash_repetitions.csv,duplicate_external_effect=NO
E4D-CP1-R3,D_CRASH_RECOVERY,CP1,EVT_TEST_EXPLOIT_01_001,exploit,,CAO,PLAYBOOK_1,SUCCESS,APPROVED,ACT-e55221b1d46e9496,120,YES,Crash recovery without duplicate external effect,pre=0; post=1; cleanup=0,EXECUTED_ONCE,True,experimental_results/e4/integrated/e4_crash_repetitions.csv,duplicate_external_effect=NO
E4D-CP2-R1,D_CRASH_RECOVERY,CP2,EVT_TEST_EXPLOIT_01_001,exploit,,CAO,PLAYBOOK_1,SUCCESS,APPROVED,ACT-e55221b1d46e9496,120,YES,Crash recovery without duplicate external effect,pre=0; post=1; cleanup=0,EXECUTED_ONCE,True,experimental_results/e4/integrated/e4_crash_repetitions.csv,duplicate_external_effect=NO
E4D-CP2-R2,D_CRASH_RECOVERY,CP2,EVT_TEST_EXPLOIT_01_001,exploit,,CAO,PLAYBOOK_1,SUCCESS,APPROVED,ACT-e55221b1d46e9496,120,YES,Crash recovery without duplicate external effect,pre=0; post=1; cleanup=0,EXECUTED_ONCE,True,experimental_results/e4/integrated/e4_crash_repetitions.csv,duplicate_external_effect=NO
E4D-CP2-R3,D_CRASH_RECOVERY,CP2,EVT_TEST_EXPLOIT_01_001,exploit,,CAO,PLAYBOOK_1,SUCCESS,APPROVED,ACT-e55221b1d46e9496,120,YES,Crash recovery without duplicate external effect,pre=0; post=1; cleanup=0,EXECUTED_ONCE,True,experimental_results/e4/integrated/e4_crash_repetitions.csv,duplicate_external_effect=NO
E4D-CP3-R1,D_CRASH_RECOVERY,CP3,EVT_TEST_EXPLOIT_01_001,exploit,,CAO,PLAYBOOK_1,SUCCESS,APPROVED,ACT-e55221b1d46e9496,120,YES,Crash recovery without duplicate external effect,pre=0; post=1; cleanup=0,EXECUTED_ONCE,True,experimental_results/e4/integrated/e4_crash_repetitions.csv,duplicate_external_effect=NO
E4D-CP3-R2,D_CRASH_RECOVERY,CP3,EVT_TEST_EXPLOIT_01_001,exploit,,CAO,PLAYBOOK_1,SUCCESS,APPROVED,ACT-e55221b1d46e9496,120,YES,Crash recovery without duplicate external effect,pre=0; post=1; cleanup=0,EXECUTED_ONCE,True,experimental_results/e4/integrated/e4_crash_repetitions.csv,duplicate_external_effect=NO
E4D-CP3-R3,D_CRASH_RECOVERY,CP3,EVT_TEST_EXPLOIT_01_001,exploit,,CAO,PLAYBOOK_1,SUCCESS,APPROVED,ACT-e55221b1d46e9496,120,YES,Crash recovery without duplicate external effect,pre=0; post=1; cleanup=0,EXECUTED_ONCE,True,experimental_results/e4/integrated/e4_crash_repetitions.csv,duplicate_external_effect=NO
E4D-CP4-R1,D_CRASH_RECOVERY,CP4,EVT_TEST_EXPLOIT_01_001,exploit,,CAO,PLAYBOOK_1,SAFETY_HOLD,APPROVED,ACT-e55221b1d46e9496,120,NO,Crash recovery without duplicate external effect,pre=0; post=0; cleanup=0,STARTUP_SAFETY_HOLD_NO_EFFECT,True,experimental_results/e4/integrated/e4_crash_repetitions.csv,duplicate_external_effect=NO
E4D-CP4-R2,D_CRASH_RECOVERY,CP4,EVT_TEST_EXPLOIT_01_001,exploit,,CAO,PLAYBOOK_1,SAFETY_HOLD,APPROVED,ACT-e55221b1d46e9496,120,NO,Crash recovery without duplicate external effect,pre=0; post=0; cleanup=0,STARTUP_SAFETY_HOLD_NO_EFFECT,True,experimental_results/e4/integrated/e4_crash_repetitions.csv,duplicate_external_effect=NO
E4D-CP4-R3,D_CRASH_RECOVERY,CP4,EVT_TEST_EXPLOIT_01_001,exploit,,CAO,PLAYBOOK_1,SAFETY_HOLD,APPROVED,ACT-e55221b1d46e9496,120,NO,Crash recovery without duplicate external effect,pre=0; post=0; cleanup=0,STARTUP_SAFETY_HOLD_NO_EFFECT,True,experimental_results/e4/integrated/e4_crash_repetitions.csv,duplicate_external_effect=NO
E4D-CP5-R1,D_CRASH_RECOVERY,CP5,EVT_TEST_EXPLOIT_01_001,exploit,,CAO,PLAYBOOK_1,SUCCESS,APPROVED,ACT-e55221b1d46e9496,120,YES,Crash recovery without duplicate external effect,pre=1; post=1; cleanup=0,STARTUP_VERIFIED_NO_REPLAY,True,experimental_results/e4/integrated/e4_crash_repetitions.csv,duplicate_external_effect=NO
E4D-CP5-R2,D_CRASH_RECOVERY,CP5,EVT_TEST_EXPLOIT_01_001,exploit,,CAO,PLAYBOOK_1,SUCCESS,APPROVED,ACT-e55221b1d46e9496,120,YES,Crash recovery without duplicate external effect,pre=1; post=1; cleanup=0,STARTUP_VERIFIED_NO_REPLAY,True,experimental_results/e4/integrated/e4_crash_repetitions.csv,duplicate_external_effect=NO
E4D-CP5-R3,D_CRASH_RECOVERY,CP5,EVT_TEST_EXPLOIT_01_001,exploit,,CAO,PLAYBOOK_1,SUCCESS,APPROVED,ACT-e55221b1d46e9496,120,YES,Crash recovery without duplicate external effect,pre=1; post=1; cleanup=0,STARTUP_VERIFIED_NO_REPLAY,True,experimental_results/e4/integrated/e4_crash_repetitions.csv,duplicate_external_effect=NO
E4D-CP6-R1,D_CRASH_RECOVERY,CP6,EVT_TEST_EXPLOIT_01_001,exploit,,CAO,PLAYBOOK_1,SUCCESS,APPROVED,ACT-e55221b1d46e9496,120,YES,Crash recovery without duplicate external effect,pre=1; post=1; cleanup=0,EXECUTED_ONCE,True,experimental_results/e4/integrated/e4_crash_repetitions.csv,duplicate_external_effect=NO
E4D-CP6-R2,D_CRASH_RECOVERY,CP6,EVT_TEST_EXPLOIT_01_001,exploit,,CAO,PLAYBOOK_1,SUCCESS,APPROVED,ACT-e55221b1d46e9496,120,YES,Crash recovery without duplicate external effect,pre=1; post=1; cleanup=0,EXECUTED_ONCE,True,experimental_results/e4/integrated/e4_crash_repetitions.csv,duplicate_external_effect=NO
E4D-CP6-R3,D_CRASH_RECOVERY,CP6,EVT_TEST_EXPLOIT_01_001,exploit,,CAO,PLAYBOOK_1,SUCCESS,APPROVED,ACT-e55221b1d46e9496,120,YES,Crash recovery without duplicate external effect,pre=1; post=1; cleanup=0,EXECUTED_ONCE,True,experimental_results/e4/integrated/e4_crash_repetitions.csv,duplicate_external_effect=NO
E4-E-LIVE-APPROVED,E_FIREWALL_LIFECYCLE,approved_external_effect,EVT_TEST_EXPLOIT_01_001,exploit,,CAO,PLAYBOOK_1,,APPROVED,ACT-e55221b1d46e9496,120,YES,one isolated firewall rule and ACTIVE DB state,rules=1; db_status=ACTIVE; target=docker:e4-fw,EXECUTED_ONCE,True,experimental_results/e4/integrated/e4_firewall_observations.csv,
E4-E-TTL,E_FIREWALL_LIFECYCLE,time_bounded_action,EVT_TEST_EXPLOIT_01_001,exploit,,CAO,PLAYBOOK_1,,APPROVED,ACT-e55221b1d46e9496,2,YES,rule present before TTL; absent after TTL; DB EXPIRED,before=1; after=0; db_status=EXPIRED,TTL_EXPIRED_RECONCILED,True,experimental_results/e4/integrated/e4_firewall_observations.csv,
E4-E-MANUAL-ROLLBACK,E_FIREWALL_LIFECYCLE,manual_rollback,EVT_TEST_EXPLOIT_01_001,exploit,,CAO,PLAYBOOK_1,,APPROVED,ACT-e55221b1d46e9496,120,YES,live rule removed and DB ROLLBACKED,before=1; rollback_ok=True; after=0; db_status=ROLLBACKED,MANUAL_ROLLBACK_RECONCILED,True,experimental_results/e4/integrated/e4_firewall_observations.csv,
E4-E-DRIFT,E_FIREWALL_LIFECYCLE,firewall_reconciliation,EVT_TEST_EXPLOIT_01_001,exploit,,CAO,PLAYBOOK_1,,APPROVED,ACT-e55221b1d46e9496,120,YES,drift detected; no blind replay; DB reconciled fail-closed,before=1; after_external_delete=0; db_before=ACTIVE; verify_exists=False; db_after=DRIFT_MISSING,DRIFT_RECONCILED_FAIL_CLOSED,True,experimental_results/e4/integrated/e4_firewall_observations.csv,
E4-E-ORPHAN,E_FIREWALL_LIFECYCLE,firewall_orphan_reconciliation,EVT_TEST_EXPLOIT_01_001,exploit,,,,,,,0,INJECTED_ORPHAN,orphan SOAR rule detected and explicitly removed,rule_before=1; active_db_rows=0; rule_after=0,ORPHAN_REMOVED,True,experimental_results/e4/integrated/e4_firewall_observations.csv,
E4-E-FINAL-SAFETY,E_FIREWALL_LIFECYCLE,final_safety,EVT_TEST_EXPLOIT_01_001,exploit,,,,,,,0,NO,container-only target; no residual block rule,targets=['docker:e4-fw']; allow_host=False; residual_rules=0,CLEAN,True,experimental_results/e4/integrated/e4_firewall_observations.csv,
