run_id,rate,sender_failed,sender_ratio,capture_loss,capture_ratio,suri_drop,suri_ratio,offered,note
E6_PP_112.0x_M02,PP_112.0x,3,5.9e-05,0,0.0,20990,0.414642,50622,Counters at different layers MAY overlap. NOT summed.
E6_PP_112.0x_M03,PP_112.0x,3,5.9e-05,0,0.0,16236,0.32073,50622,Counters at different layers MAY overlap. NOT summed.
E6_PP_104.0x_M01,PP_104.0x,3,5.9e-05,0,0.0,19100,0.377306,50622,Counters at different layers MAY overlap. NOT summed.
E6_PP_104.0x_M02,PP_104.0x,3,5.9e-05,0,0.0,21223,0.419245,50622,Counters at different layers MAY overlap. NOT summed.
E6_PP_104.0x_M03,PP_104.0x,3,5.9e-05,0,0.0,15930,0.314685,50622,Counters at different layers MAY overlap. NOT summed.
E6_PP_100.0x_M01,PP_100.0x,3,5.9e-05,0,0.0,16249,0.320987,50622,Counters at different layers MAY overlap. NOT summed.
E6_PP_100.0x_M02,PP_100.0x,3,5.9e-05,0,0.0,13995,0.276461,50622,Counters at different layers MAY overlap. NOT summed.
E6_PP_100.0x_M03,PP_100.0x,3,5.9e-05,0,0.0,17568,0.347043,50622,Counters at different layers MAY overlap. NOT summed.
E6_PP_98.0x_M01,PP_98.0x,3,5.9e-05,0,0.0,0,0.0,50622,Counters at different layers MAY overlap. NOT summed.
E6_PP_98.0x_M02,PP_98.0x,3,5.9e-05,0,0.0,0,0.0,50622,Counters at different layers MAY overlap. NOT summed.
E6_PP_98.0x_M03,PP_98.0x,3,5.9e-05,0,0.0,0,0.0,50622,Counters at different layers MAY overlap. NOT summed.
E6_PP_99.0x_M01,PP_99.0x,3,5.9e-05,0,0.0,0,0.0,50622,Counters at different layers MAY overlap. NOT summed.
E6_PP_99.0x_M02,PP_99.0x,3,5.9e-05,0,0.0,0,0.0,50622,Counters at different layers MAY overlap. NOT summed.
E6_PP_99.0x_M03,PP_99.0x,3,5.9e-05,0,0.0,0,0.0,50622,Counters at different layers MAY overlap. NOT summed.
E6_PP_98.5x_M01,PP_98.5x,3,5.9e-05,0,0.0,0,0.0,50622,Counters at different layers MAY overlap. NOT summed.
E6_PP_98.5x_M02,PP_98.5x,3,5.9e-05,0,0.0,0,0.0,50622,Counters at different layers MAY overlap. NOT summed.
E6_PP_98.5x_M03,PP_98.5x,3,5.9e-05,0,0.0,0,0.0,50622,Counters at different layers MAY overlap. NOT summed.
E6_PP_98.75x_M01,PP_98.75x,3,5.9e-05,0,0.0,0,0.0,50622,Counters at different layers MAY overlap. NOT summed.
E6_PP_98.75x_M02,PP_98.75x,3,5.9e-05,0,0.0,0,0.0,50622,Counters at different layers MAY overlap. NOT summed.
E6_PP_98.75x_M03,PP_98.75x,3,5.9e-05,0,0.0,0,0.0,50622,Counters at different layers MAY overlap. NOT summed.
E6_PP_98.88x_M01,PP_98.88x,3,5.9e-05,0,0.0,0,0.0,50622,Counters at different layers MAY overlap. NOT summed.
E6_PP_98.88x_M02,PP_98.88x,3,5.9e-05,0,0.0,0,0.0,50622,Counters at different layers MAY overlap. NOT summed.
E6_PP_98.88x_M03,PP_98.88x,3,5.9e-05,0,0.0,0,0.0,50622,Counters at different layers MAY overlap. NOT summed.
E6_PP_98.88x_FINAL_M01,PP_98.88x_FINAL,3,5.9e-05,0,0.0,0,0.0,50622,Counters at different layers MAY overlap. NOT summed.
E6_PP_98.88x_FINAL_M02,PP_98.88x_FINAL,3,5.9e-05,0,0.0,0,0.0,50622,Counters at different layers MAY overlap. NOT summed.
E6_PP_98.88x_FINAL_M03,PP_98.88x_FINAL,3,5.9e-05,0,0.0,0,0.0,50622,Counters at different layers MAY overlap. NOT summed.
E6_PP_98.88x_FINAL_M04,PP_98.88x_FINAL,3,5.9e-05,0,0.0,0,0.0,50622,Counters at different layers MAY overlap. NOT summed.
E6_PP_98.88x_FINAL_M05,PP_98.88x_FINAL,3,5.9e-05,0,0.0,0,0.0,50622,Counters at different layers MAY overlap. NOT summed.
